relative_path,name,extension,size_bytes,sha256,mtime_utc,copy_suffix,duplicate_of
Machinery_Article/1-s2.0-S0007850626000727-main (1).pdf,1-s2.0-S0007850626000727-main (1).pdf,.pdf,2694908,9bbc73f9516869d0090bb923de0aef07814975c515933d048cda457399b68ed1,2026-07-25T09:49:55+00:00,True,
Machinery_Article/1-s2.0-S0007850626000727-main (2).pdf,1-s2.0-S0007850626000727-main (2).pdf,.pdf,2693180,d560c1d52ea966da49652ece59ec4351748c9514c293f86f3c2c14ecaf627953,2026-07-25T09:55:51+00:00,True,
Machinery_Article/1-s2.0-S0007850626000727-main (3).pdf,1-s2.0-S0007850626000727-main (3).pdf,.pdf,2693353,196c9fcd48e040c96ecb986daa78b9075c2f615d6c3be3c28873a08347bc7296,2026-07-25T09:56:11+00:00,True,
Machinery_Article/1-s2.0-S0007850626000727-main.pdf,1-s2.0-S0007850626000727-main.pdf,.pdf,2694505,f50980d3401396f17ea0b15e195f69c8104affbb71fee39b7336c19187e06455,2026-07-25T09:49:33+00:00,False,
Machinery_Article/1-s2.0-S0043164825002133-main (1).pdf,1-s2.0-S0043164825002133-main (1).pdf,.pdf,17317225,4e70eaf1080758a63ecf8d82ad74960067c396284b51d14eb8e31f12f79430e6,2026-07-25T09:48:15+00:00,True,
Machinery_Article/1-s2.0-S0043164825002133-main.pdf,1-s2.0-S0043164825002133-main.pdf,.pdf,17317225,3bd85676a25a9e362fd85d39da545853bcad25bd0a2d3a211184f1b53780faa6,2026-07-25T09:43:14+00:00,False,
Machinery_Article/1-s2.0-S2212827126001733-main (1).pdf,1-s2.0-S2212827126001733-main (1).pdf,.pdf,1963568,7a912f3eefe9e2bd9317954d68ccb0d3de2245116e27bc74f878a6c0ce05f812,2026-07-25T09:48:56+00:00,True,
Machinery_Article/1-s2.0-S2212827126001733-main.pdf,1-s2.0-S2212827126001733-main.pdf,.pdf,1963694,103a04bdb75355a30ca7ddd919649bedb02bacc277bcedc9c0627d9b678d325c,2026-07-25T09:48:44+00:00,False,
Machinery_Article/1-s2.0-S2213846326000179-main.pdf,1-s2.0-S2213846326000179-main.pdf,.pdf,1205621,c8a41e570491be05a5d48e3f77e70bc94b39126d41acbe66ec2980f8b7f07b86,2026-07-25T10:13:41+00:00,False,
Machinery_Article/1-s2.0-S2238785426019046-main.pdf,1-s2.0-S2238785426019046-main.pdf,.pdf,3789586,392b8845c5dc6f79ff180511a4fe612987cefe4bba572489b23d523e4564a97f,2026-07-25T09:56:59+00:00,False,
Machinery_Article/1-s2.0-S2666790826001357-main (1).pdf,1-s2.0-S2666790826001357-main (1).pdf,.pdf,2947813,1a9d158369a1f0095c6eaad9d1f41ce95f01a13efed09e6245bcf993c1330263,2026-07-25T09:48:26+00:00,True,
Machinery_Article/1-s2.0-S2666790826001357-main.pdf,1-s2.0-S2666790826001357-main.pdf,.pdf,2964251,f9677e062811dfa76612835fb205c6e71fcb8fc991e3a3fe25e573e0a7d1d0b6,2026-07-25T09:41:54+00:00,False,
